split,seed,arm,train_detector,eval_detector,partition,relation,mpjpe_mm,pa_mpjpe_mm,samples,best_epoch,epochs_completed
split_c,123,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,yolo11l_pose,val,matched,126.38733293525765,85.87261114887184,19678,15,23
split_c,123,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,yolo11l_pose,test,matched,138.442169584995,92.30023367397807,20060,15,23
split_c,2026,bounded_reliability_dual_modulation,rtmpose_performance,rtmpose_performance,val,matched,110.22873894704746,75.33714443159874,19678,43,50
split_c,2026,bounded_reliability_dual_modulation,rtmpose_performance,rtmpose_performance,test,matched,121.43601461241276,79.6123021560319,20060,43,50
split_c,2026,bounded_reliability_dual_modulation,rtmpose_performance,yolo11l_pose,val,cross,148.81356559355626,100.98820422870719,19678,43,50
split_c,2026,bounded_reliability_dual_modulation,rtmpose_performance,yolo11l_pose,test,cross,158.61560474825524,103.21205212487537,20060,43,50
split_c,2026,bounded_reliability_dual_modulation,yolo11l_pose,rtmpose_performance,val,cross,159.35624650625064,107.7222270746519,19678,31,39
split_c,2026,bounded_reliability_dual_modulation,yolo11l_pose,rtmpose_performance,test,cross,176.37552031405784,113.97185786390827,20060,31,39
split_c,2026,bounded_reliability_dual_modulation,yolo11l_pose,yolo11l_pose,val,matched,121.98399942194328,82.49122314577193,19678,31,39
split_c,2026,bounded_reliability_dual_modulation,yolo11l_pose,yolo11l_pose,test,matched,131.33464216724826,87.85795893569292,20060,31,39
split_c,2026,detector_aware_observed,rtmpose_performance,rtmpose_performance,val,matched,111.64646432564285,76.00451249491819,19678,47,50
split_c,2026,detector_aware_observed,rtmpose_performance,rtmpose_performance,test,matched,125.58998005982053,82.05384783150548,20060,47,50
split_c,2026,detector_aware_observed,rtmpose_performance,yolo11l_pose,val,cross,126.05911900345563,85.254752690187,19678,47,50
split_c,2026,detector_aware_observed,rtmpose_performance,yolo11l_pose,test,cross,138.77551564057828,90.79750591974077,20060,47,50
split_c,2026,detector_aware_observed,yolo11l_pose,rtmpose_performance,val,cross,124.682048956957,83.35861193337738,19678,44,50
split_c,2026,detector_aware_observed,yolo11l_pose,rtmpose_performance,test,cross,138.17361820787636,87.93767136091725,20060,44,50
split_c,2026,detector_aware_observed,yolo11l_pose,yolo11l_pose,val,matched,124.20597637590203,84.82982105650981,19678,44,50
split_c,2026,detector_aware_observed,yolo11l_pose,yolo11l_pose,test,matched,136.21174133848456,89.67479125124626,20060,44,50
split_c,2026,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,rtmpose_performance,val,matched,112.04131199817054,76.28198924560422,19678,31,39
split_c,2026,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,rtmpose_performance,test,matched,124.81457190927219,81.48455103439682,20060,31,39
split_c,2026,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,yolo11l_pose,val,cross,126.9883674026832,85.2286670869753,19678,31,39
split_c,2026,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,yolo11l_pose,test,cross,139.51476352193419,91.01802638958125,20060,31,39
split_c,2026,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,rtmpose_performance,val,cross,124.92987806814718,81.71018634388658,19678,41,49
split_c,2026,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,rtmpose_performance,test,cross,137.55379330757728,86.6560599451645,20060,41,49
split_c,2026,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,yolo11l_pose,val,matched,124.92386008486635,83.07736788863197,19678,41,49
split_c,2026,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,yolo11l_pose,test,matched,134.24250451769691,88.41556891824527,20060,41,49
split_c,42,bounded_reliability_dual_modulation,rtmpose_performance,rtmpose_performance,val,matched,111.38546616144933,75.70272123373819,19678,47,50
split_c,42,bounded_reliability_dual_modulation,rtmpose_performance,rtmpose_performance,test,matched,123.03521544740778,79.86629798105683,20060,47,50
split_c,42,bounded_reliability_dual_modulation,rtmpose_performance,yolo11l_pose,val,cross,150.794141935156,99.4853167242606,19678,47,50
split_c,42,bounded_reliability_dual_modulation,rtmpose_performance,yolo11l_pose,test,cross,161.95128676470588,103.8836957876371,20060,47,50
split_c,42,bounded_reliability_dual_modulation,yolo11l_pose,rtmpose_performance,val,cross,159.58657907942882,108.71159575414168,19678,38,46
split_c,42,bounded_reliability_dual_modulation,yolo11l_pose,rtmpose_performance,test,cross,172.7130187562313,115.15269659770688,20060,38,46
