subject,split,seed,detector,arm,valid_frames,detector_success_rate,MPJPE_mm,PA_MPJPE_mm,3DPCK_at_150mm_pct,AUC_0_to_150mm_pct
TS3,split_b,123,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,506,1.0,129.55145263671875,79.71249389648438,69.33935629587803,32.42928179814575
TS4,split_b,123,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,558,1.0,158.56578063964844,94.1327896118164,60.26625704045059,27.585352559337995
TS5,split_b,123,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,276,1.0,133.99331665039062,86.21366119384766,69.97929606625259,32.71305015694917
TS6,split_b,123,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,392,1.0,128.3750457763672,105.83700561523438,72.86807580174927,37.13733189128185
TS1,split_b,123,yolo11l_pose,bounded_reliability_observed_modulation,603,1.0,101.6514663696289,61.197288513183594,79.95735607675905,41.48917471016652
TS2,split_b,123,yolo11l_pose,bounded_reliability_observed_modulation,540,1.0,134.1807403564453,85.81401824951172,68.34656084656085,31.68800136542072
TS3,split_b,123,yolo11l_pose,bounded_reliability_observed_modulation,506,1.0,128.03997802734375,78.5508804321289,69.35347261434218,32.80951166645416
TS4,split_b,123,yolo11l_pose,bounded_reliability_observed_modulation,558,1.0,149.89801025390625,90.34994506835938,62.77521761392729,29.25524007730043
TS5,split_b,123,yolo11l_pose,bounded_reliability_observed_modulation,276,1.0,148.331787109375,92.66304016113281,65.527950310559,29.623321979563205
TS6,split_b,123,yolo11l_pose,bounded_reliability_observed_modulation,392,1.0,128.55987548828125,106.62076568603516,72.21209912536443,36.21861186871062
TS1,split_b,123,yolo11l_pose,bounded_reliability_dual_modulation,603,1.0,103.16353607177734,64.078125,80.24164889836531,40.31799527707087
TS2,split_b,123,yolo11l_pose,bounded_reliability_dual_modulation,540,1.0,133.61538696289062,85.38229370117188,68.05555555555556,30.870029015190305
TS3,split_b,123,yolo11l_pose,bounded_reliability_dual_modulation,506,1.0,128.596435546875,79.05443572998047,69.00056465273856,32.29039543906305
TS4,split_b,123,yolo11l_pose,bounded_reliability_dual_modulation,558,1.0,152.643310546875,92.86381530761719,61.48233486943164,27.860363708438634
TS5,split_b,123,yolo11l_pose,bounded_reliability_dual_modulation,276,1.0,149.17669677734375,86.89968872070312,59.886128364389236,27.497829426300672
TS6,split_b,123,yolo11l_pose,bounded_reliability_dual_modulation,392,1.0,128.87322998046875,107.7747802734375,73.3600583090379,36.24329916298316
TS1,split_b,2026,rtmpose_performance,detector_aware_observed,603,1.0,90.42640686035156,58.1766242980957,85.06278133143806,46.149819260074445
